,STN,WBAN,Date,TEMP,COUNT_1,DEWP,COUNT_2,SLP,COUNT_3,STP,COUNT_4,VISIB,COUNT_5,WDSP,COUNT_6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,Temp_C,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Ech. physiques
0,74910,99999,2014-01-01,41.9,24,35.7,24,,0,,0,9.0,18,5.2,24,13.0,,52.9,29.5,0.09G,,10000,5.5,7666.08,185.6,12069.12,159.54,30.0,2862.62,-1287.69,105.42,-6458.25
1,74910,99999,2014-01-02,44.9,24,39.3,24,,0,,0,6.1,24,7.5,24,13.0,25.1,50.0,34.3,0.06G,,10000,7.17,8297.5,182.79,12407.5,145.35,18.48,3914.75,-622.69,108.54,-7857.4
2,74910,99999,2014-01-03,43.7,24,39.3,24,,0,,0,6.6,24,7.5,24,15.0,,48.6,36.3,0.39G,,10000,6.5,8575.54,183.38,12749.17,115.42,7.65,3902.0,-567.75,109.58,-7924.23
3,74910,99999,2014-01-04,44.6,24,42.5,24,,0,,0,5.4,24,3.5,24,14.0,,47.3,37.4,0.67G,,10010,7.0,7971.33,181.81,12343.08,154.12,10.79,3926.6,-839.96,110.48,-7915.38
4,74910,99999,2014-01-05,37.1,24,35.2,24,,0,,0,5.0,24,2.5,24,8.0,,45.9,30.2,1.23G,,110000,2.83,7876.19,172.29,12640.21,120.58,34.75,3245.79,-1244.38,111.75,-7204.58
5,74910,99999,2014-01-06,36.6,24,33.3,24,,0,,0,5.8,14,3.2,24,7.0,,48.7,28.8,0.00G,,110000,2.56,8996.46,176.98,12847.38,133.83,28.71,3718.33,-574.6,107.75,-7441.81
6,74910,99999,2014-01-07,42.7,24,38.8,24,,0,,0,6.1,14,2.0,24,6.0,,55.6,33.8,0.00G,,10000,5.94,8731.42,181.94,12886.19,151.23,31.27,3890.98,-630.92,111.04,-7890.33
7,74910,99999,2014-01-08,42.9,24,38.8,24,,0,,0,6.6,16,2.2,24,7.0,,56.8,35.6,0.00G,,0,6.06,8486.19,178.54,13114.71,130.71,36.71,4240.15,-605.56,108.6,-8717.67
8,74910,99999,2014-01-09,41.0,24,38.0,24,,0,,0,4.0,15,1.2,24,4.1,,53.8,31.6,0.00G,,100000,5.0,8651.77,180.46,12972.17,147.77,24.42,4315.69,-595.44,111.21,-8504.46
9,74910,99999,2014-01-10,43.5,24,40.4,24,,0,,0,4.7,17,1.7,24,6.0,,53.6,35.6,0.00G,,100000,6.39,8506.62,182.21,13227.29,23.06,44.35,4716.85,-421.08,109.75,-9375.33
