,STN,WBAN,Date,TEMP,COUNT_1,DEWP,COUNT_2,SLP,COUNT_3,STP,COUNT_4,VISIB,COUNT_5,WDSP,COUNT_6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,Temp_C,Consommation,Thermique,Eolien,Solaire,Hydraulique,Bioénergies,Ech. physiques
0,71560,99999,2014-01-01,47.6,24,43.2,24,1005.5,24,996.1,24,12.2,24,9.2,24,14.0,,51.3,44.1,0.10G,,10000,8.67,8840.96,264.46,13.65,0.85,1.0,155.52,8404.92
1,71560,99999,2014-01-02,49.9,24,44.5,24,1002.1,24,992.7,24,12.0,23,8.0,24,15.0,,53.1,46.6,0.09G,,0,9.94,9491.12,253.85,12.46,3.23,2.06,154.1,9065.29
2,71560,99999,2014-01-03,52.0,24,44.5,24,1006.3,24,996.9,24,11.2,24,11.1,24,15.0,,56.7,46.6,0.08G,,0,11.11,9390.31,250.06,17.04,2.58,2.56,157.73,8960.56
3,71560,99999,2014-01-04,48.6,24,42.6,24,1001.1,24,991.8,24,11.1,24,7.5,24,11.1,,54.7,44.8,0.01G,,0,9.22,8868.21,250.85,9.9,2.73,2.0,156.83,8446.15
4,71560,99999,2014-01-05,44.8,24,39.9,24,1007.8,24,998.2,24,11.4,24,7.5,24,11.1,,49.5,40.5,0.09G,,10000,7.11,8994.38,253.44,9.06,2.96,2.0,158.6,8568.56
5,71560,99999,2014-01-06,53.6,24,48.4,24,1006.8,24,997.5,24,11.8,24,11.0,24,14.0,,56.1,46.8,0.00G,,10000,12.0,9805.33,250.08,17.23,1.17,2.0,153.38,9381.4
6,71560,99999,2014-01-07,52.3,24,47.1,24,1013.5,24,1004.1,24,12.2,24,7.5,24,11.1,,55.9,49.5,0.00G,,10000,11.28,9727.73,248.48,10.75,2.35,2.0,148.44,9315.96
7,71560,99999,2014-01-08,52.3,24,47.9,24,1017.9,24,1008.5,24,12.0,24,5.9,24,8.9,,57.2,46.9,0.00G,,10000,11.28,9592.17,249.04,4.71,3.31,2.0,150.1,9182.83
8,71560,99999,2014-01-09,50.6,24,44.3,24,1013.6,24,1004.2,24,12.2,24,7.5,24,13.0,,55.0,44.8,0.02G,,10000,10.33,9787.12,244.38,11.54,0.48,2.38,145.6,9382.42
9,71560,99999,2014-01-10,42.8,24,40.0,24,1019.0,24,1009.4,24,9.4,24,4.0,24,6.0,,49.3,40.3,0.02G,,0,6.0,10294.65,251.98,1.15,0.98,3.0,142.85,9894.73
