,STN,WBAN,Date,TEMP,COUNT_1,DEWP,COUNT_2,SLP,COUNT_3,STP,COUNT_4,VISIB,COUNT_5,WDSP,COUNT_6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,Temp_C,Consommation,Thermique,Nucléaire,Eolien,Solaire,Hydraulique,Bioénergies,Ech. physiques
0,76100,99999,2014-01-01,49.6,24,40.7,24,,0,,0,6.7,19,3.9,24,8.9,,59.0,41.0,0.00G,,10000,9.78,5298.19,80.23,4223.48,271.46,31.15,495.6,125.04,72.56
1,76100,99999,2014-01-02,54.0,24,45.8,24,,0,,0,7.4,24,6.8,24,15.9,,59.5,47.8,0.02G,,10000,12.22,5483.27,86.94,4059.71,212.31,39.27,680.21,119.69,286.04
2,76100,99999,2014-01-03,52.0,24,48.8,24,,0,,0,6.5,24,4.2,24,9.9,17.1,57.2,48.2,0.07G,,10000,11.11,5510.12,92.96,4177.27,245.92,23.79,636.42,118.92,216.02
3,76100,99999,2014-01-04,50.4,24,41.8,24,,0,,0,7.5,24,8.8,24,24.1,39.0,63.7,40.8,0.12G,,10000,10.22,5444.83,92.38,4215.35,220.04,24.23,578.42,118.75,196.35
4,76100,99999,2014-01-05,47.7,24,40.2,24,,0,,0,6.6,24,4.7,24,13.0,,53.6,40.1,0.75G,,10000,8.72,5548.35,91.4,4200.15,185.73,19.58,541.1,117.25,393.25
5,76100,99999,2014-01-06,52.7,24,47.4,24,,0,,0,7.4,15,3.0,24,7.0,,63.1,43.7,0.01G,,10000,11.5,5865.81,90.5,4039.08,257.25,39.4,719.06,120.29,600.75
6,76100,99999,2014-01-07,51.9,24,47.1,24,,0,,0,6.9,24,3.7,24,7.0,,60.8,44.4,0.02G,,10000,11.06,5689.17,93.46,4041.38,160.02,53.17,778.96,120.44,442.65
7,76100,99999,2014-01-08,50.7,24,45.8,24,,0,,0,8.6,11,3.7,24,8.0,,55.6,46.4,0.00G,,0,10.39,5608.81,92.94,4217.67,141.62,47.6,757.6,124.62,227.73
8,76100,99999,2014-01-09,49.5,24,41.5,24,,0,,0,6.8,10,3.0,24,8.0,,63.9,40.8,0.00G,,0,9.72,5793.83,93.31,4815.44,110.31,36.58,786.08,125.65,-172.56
9,76100,99999,2014-01-10,43.7,24,40.1,24,,0,,0,5.0,11,2.1,24,5.1,,55.4,34.9,0.00G,,0,6.5,5938.62,93.1,5266.42,30.29,71.23,808.98,125.54,-456.6
10,76100,99999,2014-01-11,48.8,24,45.3,24,,0,,0,4.8,23,2.8,24,6.0,,55.9,40.6,0.00G,,0,9.33,5501.44,94.88,5426.23,34.04,23.1,608.31,127.27,-811.88
11,76100,99999,2014-01-12,49.7,24,40.8,24,,0,,0,4.2,13,3.2,24,13.0,,64.8,35.6,0.00G,,110000,9.83,5358.19,95.92,5452.44,115.21,78.27,543.33,127.06,-1053.02
12,76100,99999,2014-01-13,47.3,24,43.6,24,,0,,0,7.1,23,5.1,24,9.9,,59.2,37.4,0.06G,,10000,8.5,5945.6,94.4,5730.15,113.21,39.94,671.77,126.35,-829.62
13,76100,99999,2014-01-14,45.0,24,40.7,24,,0,,0,6.4,24,5.9,24,14.0,,50.0,35.6,0.02G,,10000,7.22,6302.98,91.98,5741.23,71.33,53.04,712.35,124.96,-491.15
