,STN,WBAN,Date,TEMP,COUNT_1,DEWP,COUNT_2,SLP,COUNT_3,STP,COUNT_4,VISIB,COUNT_5,WDSP,COUNT_6,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT,Temp_C,Consommation,Thermique,Eolien,Solaire,Hydraulique,Pompage,Bioénergies,Ech. physiques
0,75630,99999,2014-01-01,49.5,24,40.3,24,1017.0,24,1011.1,24,35.9,24,5.6,24,11.1,,56.8,41.2,0.00G,,0,9.72,5640.58,267.73,6.1,38.83,1145.52,-24.46,65.4,4141.48
1,75630,99999,2014-01-02,52.2,24,47.8,24,1012.5,24,1006.7,24,24.8,24,6.5,24,15.0,,58.5,44.6,0.06G,,10000,11.22,5722.08,258.23,9.71,16.46,1282.67,-12.75,66.98,4100.65
2,75630,99999,2014-01-03,51.8,24,46.7,24,1017.0,24,1011.2,24,25.3,24,4.7,24,8.0,,57.9,44.1,0.13G,,10000,11.0,5685.54,258.33,1.98,19.25,1248.94,-8.5,69.52,4096.0
3,75630,99999,2014-01-04,53.7,24,49.4,24,1008.2,24,1002.5,24,20.0,24,9.2,24,19.0,,58.6,48.0,0.05G,,10000,12.06,5346.46,259.27,15.44,6.08,1310.85,0.0,68.5,3686.31
4,75630,99999,2014-01-05,47.5,24,35.3,24,1011.7,24,1005.9,24,33.6,24,12.7,24,20.0,,58.1,42.6,0.02G,,10000,8.61,5241.12,258.94,15.77,76.12,1274.9,0.0,64.08,3551.27
5,75630,99999,2014-01-06,46.0,24,37.4,24,1018.8,24,1012.9,24,30.9,24,3.3,24,7.0,,59.2,34.7,0.00G,,0,7.78,5831.62,255.79,7.27,57.02,1341.38,-0.02,65.73,4104.65
6,75630,99999,2014-01-07,52.0,24,44.9,24,1022.9,24,1017.1,24,32.1,24,5.3,24,9.9,,57.7,42.1,0.00G,,0,11.11,5783.85,531.67,7.0,23.1,1380.12,-10.65,63.67,3789.17
7,75630,99999,2014-01-08,52.0,24,45.9,24,1025.8,24,1019.9,24,25.7,24,3.5,24,7.0,,60.1,42.3,0.00G,,100000,11.11,5573.54,255.71,6.75,38.27,1252.83,-14.88,65.46,3969.25
8,75630,99999,2014-01-09,49.3,24,43.4,24,1023.0,24,1017.1,24,22.4,24,3.6,24,7.0,,58.5,40.8,0.00G,,0,9.61,5643.75,629.38,2.31,49.67,1291.06,-13.81,69.88,3615.31
9,75630,99999,2014-01-10,47.0,24,42.4,24,1020.1,24,1014.2,24,7.1,24,1.3,24,2.9,,57.9,34.9,0.00G,,0,8.33,5584.58,770.5,0.04,67.02,1390.08,0.0,67.31,3289.6
10,75630,99999,2014-01-11,50.0,24,45.2,24,1021.6,24,1015.7,24,9.9,24,2.5,24,6.0,,56.1,41.4,0.00G,,100000,10.0,5242.38,652.29,0.52,23.02,1330.56,-9.58,67.6,3177.88
11,75630,99999,2014-01-12,49.1,24,44.4,24,1022.7,24,1016.8,24,6.0,24,1.0,24,4.1,,61.2,40.3,0.00G,,100000,9.5,5099.83,292.02,0.02,37.71,1195.31,0.0,67.54,3507.29
12,75630,99999,2014-01-13,49.0,23,45.1,23,1016.6,23,1010.7,23,10.2,23,3.8,23,11.1,,53.6,44.8,0.00G,,10000,9.44,5574.56,636.15,1.58,16.17,1402.29,0.0,69.9,3448.23
13,75630,99999,2014-01-14,42.9,23,39.4,23,1010.3,23,1004.4,23,17.0,23,3.0,23,13.0,,51.8,34.0,0.52G,,110000,6.06,5701.06,532.15,4.0,69.31,1239.65,0.0,71.12,3784.79
14,75630,99999,2014-01-15,42.8,24,34.9,24,1013.5,24,1007.6,24,28.5,24,7.5,24,17.1,,51.4,36.3,0.02G,,0,6.0,6007.92,388.67,9.4,75.58,1170.9,0.0,71.71,4291.58
15,75630,99999,2014-01-16,50.7,24,45.8,24,1008.7,24,1002.9,24,20.5,24,10.8,24,15.9,,56.1,34.7,0.01G,,10000,10.39,6118.1,298.42,21.9,4.23,1281.5,0.0,69.75,4442.38
16,75630,99999,2014-01-17,54.1,24,46.9,24,1004.7,24,999.0,24,26.3,24,7.3,24,12.0,,61.2,48.4,0.12G,,0,12.28,5677.85,255.58,9.23,38.23,1607.08,-0.12,67.54,3700.1
17,75630,99999,2014-01-18,52.1,24,46.5,24,1001.4,24,995.7,24,24.8,24,9.9,24,14.0,,54.5,47.7,0.00G,,10000,11.17,5560.9,258.58,28.02,7.31,1363.44,-20.19,70.67,3853.1
18,75630,99999,2014-01-19,51.2,24,46.4,24,997.3,24,991.6,24,25.0,24,7.9,24,14.0,,57.6,46.6,0.74G,,10000,10.67,5364.42,304.71,17.12,10.35,1047.17,-20.19,66.31,3938.92
19,75630,99999,2014-01-20,46.6,24,40.3,24,1004.1,24,998.3,24,31.6,24,12.8,24,19.0,,50.7,44.1,0.63G,,10000,8.11,5851.25,453.75,16.94,40.85,837.67,-6.38,63.62,4444.73
20,75630,99999,2014-01-21,44.9,24,35.3,24,1009.5,24,1003.6,24,25.4,24,19.4,24,25.1,,49.8,39.9,0.00G,,0,7.17,6022.77,402.98,33.46,88.94,1163.71,-13.79,62.02,4285.38
21,75630,99999,2014-01-22,39.2,24,33.7,24,1012.8,24,1006.8,24,12.4,24,1.6,24,6.0,,51.1,27.3,0.00G,,0,4.0,6151.29,442.17,1.94,85.1,1402.9,-7.44,60.77,4166.06
22,75630,99999,2014-01-23,43.6,24,36.0,24,1017.7,24,1011.8,24,17.0,24,5.6,24,17.1,,55.2,34.3,0.00G,,0,6.44,6178.71,311.4,8.75,66.92,1471.77,-6.44,67.62,4258.79
23,75630,99999,2014-01-24,42.7,24,34.4,24,1015.2,24,1009.3,24,34.2,24,12.1,24,22.9,,47.8,38.8,0.00G,,0,5.94,6200.6,315.27,20.85,77.92,1518.48,-9.44,67.6,4210.08
24,75630,99999,2014-01-25,43.6,24,27.0,24,1015.5,24,1009.6,24,34.4,24,16.8,24,25.1,,51.4,36.7,0.00G,,0,6.44,6189.23,310.08,32.56,78.67,1405.54,-3.19,67.06,4298.5
25,75630,99999,2014-01-26,48.1,24,35.8,24,1014.8,24,1009.0,24,29.5,24,8.2,24,19.0,,56.8,37.4,0.00G,,0,8.94,5601.56,263.35,15.17,88.23,1346.46,-13.79,67.12,3834.98
26,75630,99999,2014-01-27,46.9,24,35.1,24,1004.1,24,998.3,24,30.7,24,5.6,24,12.0,,55.4,32.5,0.00G,,10000,8.28,5706.73,331.38,18.25,91.42,1565.46,-13.62,67.54,3646.35
27,75630,99999,2014-01-28,38.5,24,29.8,24,1001.4,24,995.5,24,29.1,24,3.5,24,9.9,,50.0,26.4,0.00G,,0,3.61,6140.31,375.65,6.77,84.08,1412.29,-10.58,68.06,4203.96
28,75630,99999,2014-01-29,40.6,24,36.1,24,999.1,24,993.3,24,19.2,24,7.1,24,15.0,,44.4,33.4,0.02G,,10000,4.78,6482.54,526.08,9.19,18.23,1439.1,-8.38,68.56,4429.85
29,75630,99999,2014-01-30,39.1,23,37.7,23,1003.1,23,997.2,23,6.7,23,4.2,23,8.0,,41.2,32.5,1.54G,,10000,3.94,6592.35,458.88,10.02,4.54,1515.92,-6.31,66.81,4542.65
30,75630,99999,2014-01-31,42.7,24,38.6,24,1009.4,24,1003.5,24,15.9,24,4.8,24,9.9,,50.7,35.1,1.67G,,10000,5.94,6514.08,392.4,4.85,40.42,1526.98,-9.54,64.35,4494.6
31,75630,99999,2014-02-01,42.7,24,38.4,24,1009.0,24,1003.1,24,20.9,24,6.3,24,14.0,,50.9,32.2,0.06G,,110000,5.94,6329.17,366.69,7.1,49.75,1297.9,-13.71,65.33,4556.23
32,75630,99999,2014-02-02,44.3,24,35.4,24,1011.1,24,1005.2,24,33.0,24,16.3,24,26.0,,50.0,41.0,0.39G,,10000,6.83,6090.29,261.38,28.21,25.06,1301.23,-24.19,62.08,4436.6
33,75630,99999,2014-02-03,44.4,23,35.6,23,1010.4,23,1004.5,23,30.4,23,6.6,23,12.0,,56.8,30.6,0.00G,,10000,6.89,6327.85,401.9,12.94,46.73,1385.81,-10.62,57.46,4433.44
34,75630,99999,2014-02-04,47.3,24,41.7,24,1011.9,24,1006.0,24,29.6,24,5.1,24,9.9,,56.5,43.9,0.16G,,10000,8.5,6258.88,282.96,6.35,48.94,1557.12,-7.42,65.15,4305.67
35,75630,99999,2014-02-05,44.7,24,40.5,24,1007.4,24,1001.5,24,17.9,24,10.0,24,20.0,,49.8,32.4,0.06G,,110000,7.06,6527.81,516.27,23.67,6.75,1320.44,0.0,58.06,4602.52
36,75630,99999,2014-02-06,44.2,24,35.5,24,1012.9,24,1007.0,24,21.6,24,5.9,24,17.1,,57.7,29.5,0.69G,,100000,6.78,6346.0,543.58,14.08,76.29,1344.42,-6.25,65.58,4308.29
37,75630,99999,2014-02-07,49.8,24,44.7,24,1009.7,24,1003.9,24,26.7,24,7.4,24,20.0,,57.2,37.9,0.00G,,10000,9.89,6136.98,368.42,18.31,36.12,1354.73,0.0,67.06,4292.35
38,75630,99999,2014-02-08,47.1,24,41.3,24,1006.1,24,1000.3,24,28.4,24,7.4,24,13.0,,55.9,33.8,0.74G,,10000,8.39,6063.1,355.69,8.96,14.0,1280.04,0.0,66.48,4338.0
39,75630,99999,2014-02-09,47.4,24,36.0,24,1007.4,24,1001.6,24,36.5,24,6.6,24,15.0,,53.1,36.0,0.13G,,0,8.56,5698.6,266.1,13.27,82.29,1340.65,-6.35,63.58,3938.83
40,75630,99999,2014-02-10,49.6,24,41.8,24,996.2,24,990.5,24,29.9,24,12.8,24,22.9,,55.2,45.0,0.28G,,10000,9.78,6108.21,358.4,28.31,21.65,1482.12,0.0,58.98,4158.67
41,75630,99999,2014-02-11,46.2,24,35.9,24,1008.7,24,1002.8,24,33.8,24,7.9,24,15.9,,55.0,41.0,0.17G,,0,7.89,5958.9,362.65,10.17,111.4,1423.79,0.0,58.19,3992.69
42,75630,99999,2014-02-12,47.1,24,36.8,24,1012.6,24,1006.8,24,30.6,24,6.6,24,17.1,,58.8,37.2,0.00G,,0,8.39,5891.9,331.71,10.06,115.5,1471.65,0.0,54.71,3908.25
43,75630,99999,2014-02-13,48.4,24,38.8,24,1011.2,24,1005.4,24,28.9,24,4.9,24,9.9,,61.9,35.8,0.00G,,10000,9.11,6027.6,276.48,5.02,66.31,1434.4,0.0,57.25,4188.19
44,75630,99999,2014-02-14,48.8,24,39.3,24,1012.1,24,1006.2,24,32.8,24,3.6,24,15.9,,61.0,36.3,0.00G,,0,9.33,5815.5,269.92,10.75,78.4,1577.96,0.0,55.71,3822.88
45,75630,99999,2014-02-15,57.7,24,48.8,24,1009.0,24,1003.3,24,36.6,24,10.7,24,17.1,,62.2,45.7,0.00G,,0,14.28,5327.27,266.5,32.35,44.5,1547.92,-4.25,55.42,3384.92
46,75630,99999,2014-02-16,48.4,24,42.1,24,1014.8,24,1009.0,24,32.7,24,5.1,24,8.9,,56.8,43.3,0.19G,,10000,9.11,5070.6,267.1,5.15,40.92,1424.27,0.0,53.65,3279.52
47,75630,99999,2014-02-17,45.3,24,37.5,24,1015.5,24,1009.6,24,23.9,24,1.6,24,4.1,,59.9,33.8,0.07G,,0,7.39,5396.88,271.88,0.35,118.12,1614.23,0.0,54.62,3337.54
48,75630,99999,2014-02-18,45.0,23,39.6,23,1015.1,23,1009.2,23,13.7,23,2.5,23,6.0,,56.3,34.9,0.00G,,0,7.22,5631.38,269.54,2.58,52.29,1488.56,0.0,54.31,3763.92
49,75630,99999,2014-02-19,52.8,24,38.7,24,1014.4,24,1008.6,24,28.2,24,13.9,24,22.0,,59.0,45.5,0.02G,,10000,11.56,5510.21,270.79,22.79,75.15,1614.02,-0.15,58.44,3469.15
50,75630,99999,2014-02-20,52.6,24,40.1,24,1014.8,24,1009.0,24,33.7,24,8.4,24,15.0,,61.9,45.9,0.00G,,0,11.44,5499.52,267.48,13.81,119.44,1699.58,0.0,59.69,3339.46
51,75630,99999,2014-02-21,49.9,24,43.3,24,1014.4,24,1008.6,24,25.7,24,5.1,24,9.9,,57.0,41.2,0.02G,,10000,9.94,5572.9,268.17,6.54,39.83,1667.79,0.0,61.25,3529.52
52,75630,99999,2014-02-22,44.7,24,35.2,24,1019.7,24,1013.8,24,30.7,24,4.5,24,12.0,,58.3,32.2,0.15G,,0,7.06,5375.5,267.54,7.77,130.35,1665.69,0.0,54.6,3249.56
53,75630,99999,2014-02-23,45.6,24,35.4,24,1021.0,24,1015.1,24,27.6,24,3.2,24,9.9,,63.1,31.1,0.00G,,0,7.56,5138.44,268.04,3.69,127.31,1625.48,0.0,53.56,3060.35
54,75630,99999,2014-02-24,49.1,24,37.9,24,1020.0,24,1014.1,24,33.7,24,7.2,24,13.0,,62.8,36.7,0.00G,,0,9.5,5517.92,266.94,17.83,116.38,1672.75,0.0,55.5,3388.52
55,75630,99999,2014-02-25,49.7,24,39.9,24,1017.6,24,1011.8,24,33.3,24,7.7,24,9.9,,55.6,40.3,0.00G,,10000,9.83,5839.85,266.54,12.94,37.1,1677.19,0.0,55.31,3790.65
56,75630,99999,2014-02-26,43.9,24,40.8,24,1019.3,24,1013.4,24,22.6,24,6.1,24,15.9,,52.0,37.6,0.71G,,10000,6.61,5951.48,307.92,7.75,38.67,1517.71,0.0,58.65,4020.96
57,75630,99999,2014-02-27,42.9,24,36.7,24,1022.5,24,1016.5,24,22.5,24,2.3,24,6.0,,53.8,30.9,0.32G,,110000,6.06,6041.1,269.73,4.46,90.15,1710.33,0.0,61.75,3904.58
58,75630,99999,2014-02-28,43.8,24,38.1,24,1009.8,24,1003.9,24,22.1,24,5.1,24,8.9,,54.0,36.3,0.01G,,10000,6.56,6123.77,313.52,9.25,28.1,1717.44,-13.69,60.19,4008.88
59,75630,99999,2014-03-01,43.8,24,33.8,24,1001.4,24,995.5,24,29.5,24,11.1,24,22.0,,54.9,31.1,0.13G,,0,6.56,5768.33,256.48,24.25,135.33,1642.0,0.0,56.27,3653.71
60,75630,99999,2014-03-02,46.7,24,34.1,24,1000.8,24,995.0,24,23.6,24,15.9,24,28.0,,55.2,41.0,0.00G,,0,8.17,5443.52,253.25,29.48,139.19,1596.81,0.0,58.23,3366.5
61,75630,99999,2014-03-03,46.8,24,37.7,24,997.7,24,991.9,24,29.3,24,7.2,24,13.0,,56.3,39.0,0.69G,,10000,8.22,6044.27,340.98,14.12,38.4,1712.88,-5.31,58.79,3884.5
62,75630,99999,2014-03-04,46.0,24,32.8,24,1000.5,24,994.7,24,30.9,24,17.4,24,35.0,,54.1,33.8,0.13G,,0,7.78,5936.35,271.65,33.71,115.88,1725.65,-6.35,59.38,3736.35
63,75630,99999,2014-03-05,50.5,24,35.8,24,1011.9,24,1006.1,24,28.0,24,19.1,24,25.1,,57.7,43.7,0.00G,,0,10.28,5741.17,252.42,33.71,136.46,1691.02,-3.19,58.81,3571.9
64,75630,99999,2014-03-06,51.1,24,34.4,24,1020.8,24,1015.0,24,22.4,24,12.3,24,15.9,,61.5,39.7,0.00G,,0,10.61,5514.25,252.94,19.58,133.79,1767.17,-2.12,57.31,3285.42
